agent1,agent2,id,duration,total_duration,bond_type,time
17,73,886,7,9,'Sex',59
39,103,887,0,2,'Sex',59
99,74,891,12,14,'Sex',59
101,47,892,0,2,'Sex',59
4,10,893,13,14,'Sex',59
9,81,894,1,2,'Sex',59
14,107,895,1,2,'Sex',59
15,72,896,1,2,'Sex',59
31,17,897,0,1,'Sex',59
54,91,898,1,2,'Sex',59
63,66,899,5,6,'Sex',59
70,63,900,19,20,'Sex',59
80,99,901,0,1,'Sex',59
94,9,902,8,9,'Sex',59
104,80,903,5,6,'Sex',59
57,20,1028,1,22,'Sex',92
86,98,1035,1,22,'Sex',92
28,12,1045,0,21,'Sex',92
5,37,1063,1,19,'Sex',92
7,23,1064,0,18,'Sex',92
8,52,1065,2,20,'Sex',92
38,22,1080,1,18,'Sex',92
21,60,1093,2,18,'Sex',92
1,101,1095,7,22,'Sex',92
78,74,1101,5,20,'Sex',92
86,9,1102,5,20,'Sex',92
14,37,1106,6,20,'Sex',92
48,86,1127,9,21,'Sex',92
57,23,1128,1,13,'Sex',92
102,12,1131,9,21,'Sex',92
66,67,1137,2,13,'Sex',92
72,92,1139,10,21,'Sex',92
21,67,1141,11,22,'Sex',92
35,21,1144,10,20,'Sex',92
32,20,1161,14,23,'Sex',92
33,94,1162,13,22,'Sex',92
36,18,1163,4,13,'Sex',92
44,104,1164,6,15,'Sex',92
49,47,1165,5,14,'Sex',92
50,103,1166,0,9,'Sex',92
60,4,1169,10,19,'Sex',92
62,91,1170,2,11,'Sex',92
63,93,1171,6,15,'Sex',92
82,52,1172,8,17,'Sex',92
106,104,1176,0,9,'Sex',92
107,15,1177,8,17,'Sex',92
6,32,1178,4,13,'Sex',92
26,63,1180,0,9,'Sex',92
33,105,1181,0,9,'Sex',92
62,6,1183,1,10,'Sex',92
103,100,1185,2,11,'Sex',92
106,91,1187,9,18,'Sex',92
19,106,1188,0,9,'Sex',92
82,84,1190,14,23,'Sex',92
31,107,1195,9,16,'Sex',92
105,22,1198,8,15,'Sex',92
73,55,1205,2,8,'Sex',92
75,66,1206,15,21,'Sex',92
19,39,1209,12,18,'Sex',92
1,32,1211,14,19,'Sex',92
18,1,1212,16,21,'Sex',92
28,44,1214,0,5,'Sex',92
40,26,1215,6,11,'Sex',92
58,18,1217,0,5,'Sex',92
93,80,1220,6,11,'Sex',92
105,19,1221,14,19,'Sex',92
108,84,1222,1,6,'Sex',92
93,17,1223,0,5,'Sex',92
7,11,1225,2,6,'Sex',92
8,95,1226,16,20,'Sex',92
14,73,1228,3,7,'Sex',92
97,93,1231,3,7,'Sex',92
27,14,1235,10,13,'Sex',92
76,103,1237,4,7,'Sex',92
88,62,1238,18,21,'Sex',92
20,76,1240,11,13,'Sex',92
22,49,1241,17,19,'Sex',92
60,97,1243,7,9,'Sex',92
16,22,1246,0,1,'Sex',92
39,27,1247,1,2,'Sex',92
59,6,1248,1,2,'Sex',92
102,90,1249,18,19,'Sex',92
109,108,1250,0,1,'Sex',92
24,8,764,1,23,'Sex',66
12,14,782,4,23,'Sex',66
100,53,805,2,21,'Sex',66
73,100,813,2,21,'Sex',66
104,78,815,1,20,'Sex',66
26,76,820,6,23,'Sex',66
43,49,822,6,23,'Sex',66
15,43,832,6,22,'Sex',66
104,65,845,3,19,'Sex',66
55,104,848,0,15,'Sex',66
66,85,856,9,23,'Sex',66
47,76,862,0,13,'Sex',66
73,65,863,3,16,'Sex',66
101,15,865,2,15,'Sex',66
104,40,866,0,13,'Sex',66
68,106,870,6,18,'Sex',66
26,38,874,8,19,'Sex',66
32,38,875,5,16,'Sex',66
53,78,876,11,22,'Sex',66
69,32,877,4,15,'Sex',66
104,42,878,9,20,'Sex',66
4,56,879,6,16,'Sex',66
17,73,886,0,9,'Sex',66
4,10,893,6,14,'Sex',66
70,63,900,12,20,'Sex',66
94,9,902,1,9,'Sex',66
19,10,907,3,10,'Sex',66
20,18,908,9,16,'Sex',66
24,87,909,0,7,'Sex',66
35,88,912,1,8,'Sex',66
36,52,913,8,15,'Sex',66
42,24,914,12,19,'Sex',66
84,87,921,11,18,'Sex',66
105,19,925,16,23,'Sex',66
25,20,926,2,9,'Sex',66
51,75,928,0,7,'Sex',66
52,105,929,4,11,'Sex',66
71,51,930,2,9,'Sex',66
80,92,936,9,15,'Sex',66
21,25,938,2,7,'Sex',66
44,1,940,10,15,'Sex',66
54,21,941,2,7,'Sex',66
69,72,942,14,19,'Sex',66
71,83,943,14,19,'Sex',66
74,93,944,10,15,'Sex',66
84,108,946,3,8,'Sex',66
86,93,947,1,6,'Sex',66
89,83,948,14,19,'Sex',66
108,36,949,5,10,'Sex',66
25,59,952,17,21,'Sex',66
35,86,954,15,19,'Sex',66
62,81,955,15,19,'Sex',66
67,87,956,11,15,'Sex',66
82,80,958,4,8,'Sex',66
93,89,959,12,16,'Sex',66
46,35,961,3,6,'Sex',66
17,31,963,9,11,'Sex',66
51,101,965,0,2,'Sex',66
97,101,966,19,21,'Sex',66
21,31,968,3,4,'Sex',66
25,52,969,1,2,'Sex',66
48,51,970,1,2,'Sex',66
69,21,971,1,2,'Sex',66
72,48,972,1,2,'Sex',66
75,93,973,1,2,'Sex',66
87,71,974,4,5,'Sex',66
92,75,975,18,19,'Sex',66
97,62,976,1,2,'Sex',66
32,20,1161,2,23,'Sex',104
33,94,1162,1,22,'Sex',104
82,84,1190,2,23,'Sex',104
75,66,1206,3,21,'Sex',104
19,39,1209,0,18,'Sex',104
1,32,1211,2,19,'Sex',104
18,1,1212,4,21,'Sex',104
105,19,1221,2,19,'Sex',104
8,95,1226,4,20,'Sex',104
88,62,1238,6,21,'Sex',104
22,49,1241,5,19,'Sex',104
102,90,1249,6,19,'Sex',104
11,10,1252,7,19,'Sex',104
7,87,1262,9,20,'Sex',104
33,63,1269,11,22,'Sex',104
106,90,1273,3,14,'Sex',104
108,65,1274,12,23,'Sex',104
5,39,1275,9,19,'Sex',104
38,28,1279,6,16,'Sex',104
86,84,1282,1,11,'Sex',104
5,87,1285,14,23,'Sex',104
46,65,1293,7,16,'Sex',104
53,59,1295,0,9,'Sex',104
54,58,1296,7,16,'Sex',104
68,66,1299,2,11,'Sex',104
86,39,1305,4,13,'Sex',104
96,81,1307,13,22,'Sex',104
25,8,1310,7,16,'Sex',104
51,71,1311,11,20,'Sex',104
109,108,1314,2,11,'Sex',104
51,68,1315,14,23,'Sex',104
19,59,1317,3,11,'Sex',104
23,54,1320,8,15,'Sex',104
42,53,1321,2,9,'Sex',104
48,46,1322,10,17,'Sex',104
55,73,1323,14,21,'Sex',104
6,2,1325,14,21,'Sex',104
6,48,1327,0,6,'Sex',104
9,6,1328,12,18,'Sex',104
47,55,1331,2,8,'Sex',104
66,109,1333,4,10,'Sex',104
74,71,1335,1,7,'Sex',104
86,62,1337,8,14,'Sex',104
74,109,1338,13,19,'Sex',104
26,44,1340,16,21,'Sex',104
44,25,1342,2,7,'Sex',104
51,40,1343,2,7,'Sex',104
96,92,1346,5,10,'Sex',104
104,96,1347,5,10,'Sex',104
86,100,1350,12,16,'Sex',104
101,16,1351,3,7,'Sex',104
12,52,1352,0,3,'Sex',104
15,52,1353,12,15,'Sex',104
19,44,1354,7,10,'Sex',104
23,51,1355,1,4,'Sex',104
57,12,1357,10,13,'Sex',104
100,110,1359,2,5,'Sex',104
107,103,1364,8,10,'Sex',104
4,35,1365,0,1,'Sex',104
21,35,1366,21,22,'Sex',104
25,56,1367,5,6,'Sex',104
51,43,1368,10,11,'Sex',104
60,92,1369,0,1,'Sex',104
72,79,1370,18,19,'Sex',104
83,79,1371,0,1,'Sex',104
101,51,1372,9,10,'Sex',104
65,46,610,0,22,'Sex',50
21,40,633,2,22,'Sex',50
20,101,637,3,22,'Sex',50
5,50,643,1,19,'Sex',50
95,19,652,3,21,'Sex',50
56,87,659,0,17,'Sex',50
91,79,666,6,22,'Sex',50
9,22,670,6,21,'Sex',50
46,9,685,7,22,'Sex',50
56,26,687,3,18,'Sex',50
88,72,691,5,20,'Sex',50
96,76,692,1,16,'Sex',50
11,44,694,2,17,'Sex',50
15,53,695,4,19,'Sex',50
24,17,696,6,21,'Sex',50
24,22,702,2,17,'Sex',50
4,28,707,7,21,'Sex',50
10,51,708,7,20,'Sex',50
8,56,725,1,13,'Sex',50
28,99,726,6,18,'Sex',50
52,36,730,6,18,'Sex',50
54,31,731,7,19,'Sex',50
76,87,733,11,23,'Sex',50
15,80,735,7,18,'Sex',50
19,23,736,0,11,'Sex',50
43,74,741,7,17,'Sex',50
46,95,742,12,22,'Sex',50
6,79,745,1,10,'Sex',50
96,97,748,0,9,'Sex',50
7,101,749,13,21,'Sex',50
92,64,753,3,11,'Sex',50
99,66,756,1,9,'Sex',50
23,97,758,13,20,'Sex',50
103,21,760,12,19,'Sex',50
103,96,762,15,22,'Sex',50
18,70,763,7,13,'Sex',50
24,8,764,17,23,'Sex',50
15,99,768,6,11,'Sex',50
51,25,769,13,18,'Sex',50
64,88,771,8,13,'Sex',50
74,76,772,10,15,'Sex',50
105,103,774,3,8,'Sex',50
63,54,778,7,11,'Sex',50
12,14,782,20,23,'Sex',50
14,42,783,7,10,'Sex',50
48,9,790,14,17,'Sex',50
63,101,795,4,7,'Sex',50
69,63,798,14,17,'Sex',50
73,78,800,2,5,'Sex',50
81,62,802,11,14,'Sex',50
100,53,805,18,21,'Sex',50
69,87,812,10,13,'Sex',50
73,100,813,18,21,'Sex',50
104,78,815,17,20,'Sex',50
7,52,816,6,8,'Sex',50
12,55,817,0,2,'Sex',50
35,39,818,6,8,'Sex',50
15,49,819,1,2,'Sex',50
26,76,820,22,23,'Sex',50
32,26,821,4,5,'Sex',50
43,49,822,22,23,'Sex',50
53,12,823,0,1,'Sex',50
73,85,825,1,2,'Sex',50
81,86,826,6,7,'Sex',50
90,85,828,0,1,'Sex',50
104,81,829,4,5,'Sex',50
43,35,830,10,11,'Sex',50
12,14,782,2,23,'Sex',68
100,53,805,0,21,'Sex',68
73,100,813,0,21,'Sex',68
26,76,820,4,23,'Sex',68
43,49,822,4,23,'Sex',68
15,43,832,4,22,'Sex',68
104,65,845,1,19,'Sex',68
66,85,856,7,23,'Sex',68
73,65,863,1,16,'Sex',68
101,15,865,0,15,'Sex',68
68,106,870,4,18,'Sex',68
26,38,874,6,19,'Sex',68
32,38,875,3,16,'Sex',68
53,78,876,9,22,'Sex',68
69,32,877,2,15,'Sex',68
104,42,878,7,20,'Sex',68
4,56,879,4,16,'Sex',68
4,10,893,4,14,'Sex',68
70,63,900,10,20,'Sex',68
19,10,907,1,10,'Sex',68
20,18,908,7,16,'Sex',68
36,52,913,6,15,'Sex',68
42,24,914,10,19,'Sex',68
84,87,921,9,18,'Sex',68
105,19,925,14,23,'Sex',68
25,20,926,0,9,'Sex',68
52,105,929,2,11,'Sex',68
71,51,930,0,9,'Sex',68
80,92,936,7,15,'Sex',68
21,25,938,0,7,'Sex',68
44,1,940,8,15,'Sex',68
54,21,941,0,7,'Sex',68
69,72,942,12,19,'Sex',68
71,83,943,12,19,'Sex',68
74,93,944,8,15,'Sex',68
84,108,946,1,8,'Sex',68
89,83,948,12,19,'Sex',68
108,36,949,3,10,'Sex',68
25,59,952,15,21,'Sex',68
35,86,954,13,19,'Sex',68
62,81,955,13,19,'Sex',68
67,87,956,9,15,'Sex',68
82,80,958,2,8,'Sex',68
93,89,959,10,16,'Sex',68
46,35,961,1,6,'Sex',68
17,31,963,7,11,'Sex',68
97,101,966,17,21,'Sex',68
21,31,968,1,4,'Sex',68
87,71,974,2,5,'Sex',68
92,75,975,16,19,'Sex',68
16,25,977,9,11,'Sex',68
31,52,978,0,2,'Sex',68
82,72,979,6,8,'Sex',68
95,87,980,19,21,'Sex',68
96,81,981,5,7,'Sex',68
103,67,983,12,14,'Sex',68
17,103,984,4,5,'Sex',68
40,17,985,5,6,'Sex',68
47,40,986,13,14,'Sex',68
51,76,987,5,6,'Sex',68
21,67,1141,0,22,'Sex',103
32,20,1161,3,23,'Sex',103
33,94,1162,2,22,'Sex',103
82,84,1190,3,23,'Sex',103
75,66,1206,4,21,'Sex',103
19,39,1209,1,18,'Sex',103
1,32,1211,3,19,'Sex',103
18,1,1212,5,21,'Sex',103
105,19,1221,3,19,'Sex',103
8,95,1226,5,20,'Sex',103
88,62,1238,7,21,'Sex',103
20,76,1240,0,13,'Sex',103
22,49,1241,6,19,'Sex',103
102,90,1249,7,19,'Sex',103
11,10,1252,8,19,'Sex',103
7,87,1262,10,20,'Sex',103
16,80,1264,0,10,'Sex',103
33,63,1269,12,22,'Sex',103
106,90,1273,4,14,'Sex',103
108,65,1274,13,23,'Sex',103
5,39,1275,10,19,'Sex',103
38,28,1279,7,16,'Sex',103
84,108,1281,0,9,'Sex',103
86,84,1282,2,11,'Sex',103
5,87,1285,15,23,'Sex',103
15,43,1286,0,8,'Sex',103
46,65,1293,8,16,'Sex',103
53,59,1295,1,9,'Sex',103
54,58,1296,8,16,'Sex',103
68,66,1299,3,11,'Sex',103
86,39,1305,5,13,'Sex',103
96,81,1307,14,22,'Sex',103
25,8,1310,8,16,'Sex',103
51,71,1311,12,20,'Sex',103
109,108,1314,3,11,'Sex',103
51,68,1315,15,23,'Sex',103
19,59,1317,4,11,'Sex',103
23,54,1320,9,15,'Sex',103
42,53,1321,3,9,'Sex',103
48,46,1322,11,17,'Sex',103
55,73,1323,15,21,'Sex',103
6,2,1325,15,21,'Sex',103
6,48,1327,1,6,'Sex',103
9,6,1328,13,18,'Sex',103
47,55,1331,3,8,'Sex',103
66,109,1333,5,10,'Sex',103
74,71,1335,2,7,'Sex',103
86,62,1337,9,14,'Sex',103
74,109,1338,14,19,'Sex',103
26,44,1340,17,21,'Sex',103
44,25,1342,3,7,'Sex',103
51,40,1343,3,7,'Sex',103
96,92,1346,6,10,'Sex',103
104,96,1347,6,10,'Sex',103
74,63,1349,0,3,'Sex',103
86,100,1350,13,16,'Sex',103
101,16,1351,4,7,'Sex',103
12,52,1352,1,3,'Sex',103
15,52,1353,13,15,'Sex',103
19,44,1354,8,10,'Sex',103
23,51,1355,2,4,'Sex',103
43,78,1356,0,2,'Sex',103
57,12,1357,11,13,'Sex',103
82,93,1358,0,2,'Sex',103
100,110,1359,3,5,'Sex',103
107,42,1361,0,2,'Sex',103
86,78,1362,0,1,'Sex',103
93,24,1363,0,1,'Sex',103
107,103,1364,9,10,'Sex',103
46,9,685,0,22,'Sex',57
4,28,707,0,21,'Sex',57
10,51,708,0,20,'Sex',57
54,31,731,0,19,'Sex',57
76,87,733,4,23,'Sex',57
15,80,735,0,18,'Sex',57
43,74,741,0,17,'Sex',57
46,95,742,5,22,'Sex',57
7,101,749,6,21,'Sex',57
23,97,758,6,20,'Sex',57
103,21,760,5,19,'Sex',57
103,96,762,8,22,'Sex',57
18,70,763,0,13,'Sex',57
24,8,764,10,23,'Sex',57
51,25,769,6,18,'Sex',57
64,88,771,1,13,'Sex',57
74,76,772,3,15,'Sex',57
63,54,778,0,11,'Sex',57
12,14,782,13,23,'Sex',57
14,42,783,0,10,'Sex',57
48,9,790,7,17,'Sex',57
69,63,798,7,17,'Sex',57
81,62,802,4,14,'Sex',57
100,53,805,11,21,'Sex',57
69,87,812,3,13,'Sex',57
73,100,813,11,21,'Sex',57
104,78,815,10,20,'Sex',57
26,76,820,15,23,'Sex',57
43,49,822,15,23,'Sex',57
43,35,830,3,11,'Sex',57
15,43,832,15,22,'Sex',57
34,53,834,4,11,'Sex',57
72,90,841,7,14,'Sex',57
104,65,845,12,19,'Sex',57
104,72,846,0,7,'Sex',57
12,45,847,1,7,'Sex',57
55,104,848,9,15,'Sex',57
87,94,849,0,6,'Sex',57
97,87,850,7,13,'Sex',57
12,38,851,5,11,'Sex',57
6,49,852,3,8,'Sex',57
15,55,853,1,6,'Sex',57
62,86,854,3,8,'Sex',57
66,85,856,18,23,'Sex',57
76,97,858,6,11,'Sex',57
47,76,862,9,13,'Sex',57
73,65,863,12,16,'Sex',57
78,86,864,3,7,'Sex',57
101,15,865,11,15,'Sex',57
104,40,866,9,13,'Sex',57
20,44,868,3,6,'Sex',57
56,12,869,3,6,'Sex',57
68,106,870,15,18,'Sex',57
16,68,873,8,10,'Sex',57
26,38,874,17,19,'Sex',57
32,38,875,14,16,'Sex',57
53,78,876,20,22,'Sex',57
69,32,877,13,15,'Sex',57
104,42,878,18,20,'Sex',57
4,56,879,15,16,'Sex',57
73,105,880,0,1,'Sex',57
88,85,881,1,2,'Sex',57
101,69,882,1,2,'Sex',57
20,52,404,0,21,'Sex',32
93,22,422,2,23,'Sex',32
26,38,436,0,21,'Sex',32
51,13,450,0,19,'Sex',32
96,92,473,4,21,'Sex',32
87,80,483,4,20,'Sex',32
11,91,488,1,16,'Sex',32
7,42,496,9,23,'Sex',32
51,56,499,0,14,'Sex',32
47,10,507,2,15,'Sex',32
18,98,518,4,15,'Sex',32
23,95,519,4,15,'Sex',32
26,11,520,3,14,'Sex',32
87,90,524,0,11,'Sex',32
96,47,525,9,20,'Sex',32
99,79,534,1,11,'Sex',32
4,43,535,0,9,'Sex',32
8,52,537,5,14,'Sex',32
34,67,540,10,19,'Sex',32
38,48,542,11,20,'Sex',32
64,70,549,11,20,'Sex',32
67,74,551,11,20,'Sex',32
73,36,554,0,9,'Sex',32
74,43,555,7,16,'Sex',32
83,84,558,14,23,'Sex',32
84,67,559,9,18,'Sex',32
85,66,560,2,11,'Sex',32
89,91,562,12,21,'Sex',32
83,89,565,13,22,'Sex',32
86,79,568,7,15,'Sex',32
98,66,569,13,21,'Sex',32
54,19,577,2,9,'Sex',32
75,73,581,4,11,'Sex',32
82,71,590,15,21,'Sex',32
89,69,591,3,9,'Sex',32
45,6,595,4,10,'Sex',32
31,23,596,14,19,'Sex',32
79,45,598,2,7,'Sex',32
86,98,599,9,14,'Sex',32
1,75,600,4,8,'Sex',32
35,57,604,7,11,'Sex',32
36,38,605,13,17,'Sex',32
49,97,608,14,18,'Sex',32
59,28,609,3,7,'Sex',32
65,46,610,18,22,'Sex',32
84,65,611,2,6,'Sex',32
86,84,612,6,10,'Sex',32
91,79,613,0,4,'Sex',32
97,39,614,12,16,'Sex',32
101,100,616,17,21,'Sex',32
103,27,617,13,17,'Sex',32
40,59,619,10,13,'Sex',32
41,68,620,3,6,'Sex',32
54,41,622,4,7,'Sex',32
61,68,623,10,13,'Sex',32
65,61,625,12,15,'Sex',32
1,36,627,3,5,'Sex',32
4,52,628,0,2,'Sex',32
21,6,630,6,8,'Sex',32
55,54,632,5,7,'Sex',32
21,40,633,20,22,'Sex',32
50,71,634,0,2,'Sex',32
8,32,635,1,2,'Sex',32
19,101,636,4,5,'Sex',32
20,101,637,21,22,'Sex',32
28,91,638,0,1,'Sex',32
49,103,639,10,11,'Sex',32
77,83,640,1,2,'Sex',32
88,77,641,4,5,'Sex',32
89,88,642,12,13,'Sex',32
96,92,473,1,21,'Sex',35
87,80,483,1,20,'Sex',35
7,42,496,6,23,'Sex',35
18,98,518,1,15,'Sex',35
23,95,519,1,15,'Sex',35
26,11,520,0,14,'Sex',35
96,47,525,6,20,'Sex',35
8,52,537,2,14,'Sex',35
34,67,540,7,19,'Sex',35
38,48,542,8,20,'Sex',35
64,70,549,8,20,'Sex',35
67,74,551,8,20,'Sex',35
74,43,555,4,16,'Sex',35
83,84,558,11,23,'Sex',35
84,67,559,6,18,'Sex',35
89,91,562,9,21,'Sex',35
83,89,565,10,22,'Sex',35
86,79,568,4,15,'Sex',35
98,66,569,10,21,'Sex',35
75,73,581,1,11,'Sex',35
82,71,590,12,21,'Sex',35
89,69,591,0,9,'Sex',35
45,6,595,1,10,'Sex',35
31,23,596,11,19,'Sex',35
86,98,599,6,14,'Sex',35
1,75,600,1,8,'Sex',35
35,57,604,4,11,'Sex',35
36,38,605,10,17,'Sex',35
49,97,608,11,18,'Sex',35
59,28,609,0,7,'Sex',35
65,46,610,15,22,'Sex',35
86,84,612,3,10,'Sex',35
97,39,614,9,16,'Sex',35
101,100,616,14,21,'Sex',35
103,27,617,10,17,'Sex',35
40,59,619,7,13,'Sex',35
41,68,620,0,6,'Sex',35
54,41,622,1,7,'Sex',35
61,68,623,7,13,'Sex',35
65,61,625,9,15,'Sex',35
1,36,627,0,5,'Sex',35
21,6,630,3,8,'Sex',35
55,54,632,2,7,'Sex',35
21,40,633,17,22,'Sex',35
19,101,636,1,5,'Sex',35
20,101,637,18,22,'Sex',35
49,103,639,7,11,'Sex',35
89,88,642,9,13,'Sex',35
5,50,643,16,19,'Sex',35
21,55,645,2,5,'Sex',35
62,91,649,12,15,'Sex',35
95,19,652,18,21,'Sex',35
4,95,653,0,2,'Sex',35
13,4,654,0,2,'Sex',35
50,15,657,9,11,'Sex',35
56,87,659,15,17,'Sex',35
71,52,660,5,7,'Sex',35
73,71,661,0,2,'Sex',35
32,35,662,12,13,'Sex',35
39,41,663,2,3,'Sex',35
79,87,664,1,2,'Sex',35
86,99,665,1,2,'Sex',35
91,79,666,21,22,'Sex',35
104,89,667,0,1,'Sex',35
104,43,668,1,2,'Sex',35
72,92,1139,0,21,'Sex',102
21,67,1141,1,22,'Sex',102
35,21,1144,0,20,'Sex',102
32,20,1161,4,23,'Sex',102
33,94,1162,3,22,'Sex',102
60,4,1169,0,19,'Sex',102
82,84,1190,4,23,'Sex',102
75,66,1206,5,21,'Sex',102
